material_name,page,zone_id,width_mm,height_mm,area_m2,bbox_area_m2,scale_mm_per_px,scale_source,area_px,width_px,height_px,bbox_px,material_line
Натуральный камень,1,p001-z0473,46.0,43.4,0.0002,0.002,0.317134,dimension_line,2310.0,145,137,"[5090, 2582, 5235, 2719]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0474,31.7,19.3,0.0004,0.0006,0.317134,dimension_line,3602.0,100,61,"[3116, 2584, 3216, 2645]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0475,36.2,35.8,0.0002,0.0013,0.317134,dimension_line,1810.0,114,113,"[3350, 2584, 3464, 2697]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0476,40.6,40.0,0.0002,0.0016,0.317134,dimension_line,2078.0,128,126,"[3356, 2584, 3484, 2710]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0477,46.0,43.4,0.0002,0.002,0.317134,dimension_line,2315.5,145,137,"[3378, 2584, 3523, 2721]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0478,45.4,42.8,0.0002,0.0019,0.317134,dimension_line,2279.5,143,135,"[3399, 2584, 3542, 2719]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0479,45.4,42.8,0.0002,0.0019,0.317134,dimension_line,2283.5,143,135,"[3641, 2584, 3784, 2719]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0480,31.1,31.4,0.0002,0.001,0.317134,dimension_line,1589.0,98,99,"[3927, 2584, 4025, 2683]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0481,25.1,25.1,0.0001,0.0006,0.317134,dimension_line,1273.5,79,79,"[3927, 2584, 4006, 2663]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0482,44.7,43.1,0.0002,0.0019,0.317134,dimension_line,2268.5,141,136,"[4048, 2584, 4189, 2720]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0483,45.4,42.8,0.0002,0.0019,0.317134,dimension_line,2282.5,143,135,"[4066, 2584, 4209, 2719]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0484,36.2,36.2,0.0002,0.0013,0.317134,dimension_line,1858.5,114,114,"[4355, 2584, 4469, 2698]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0485,41.9,41.5,0.0002,0.0017,0.317134,dimension_line,2144.0,132,131,"[4356, 2584, 4488, 2715]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0486,46.3,43.4,0.0002,0.002,0.317134,dimension_line,2314.5,146,137,"[4382, 2584, 4528, 2721]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0487,45.4,42.8,0.0002,0.0019,0.317134,dimension_line,2283.5,143,135,"[4404, 2584, 4547, 2719]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0488,45.0,43.1,0.0002,0.0019,0.317134,dimension_line,2316.0,142,136,"[4569, 2584, 4711, 2720]",ИЛ ТИТ © Натуральный камень 30 мм
